order_number,discount_code,created_at,lineitem_name,athlete_name,product_name,is_game_jersey,has_jersey20,base_royalty,final_royalty,month_year,import_id
#2067,JERSEY20,10/20/2025 21:46,Carleigh Czerneski | Jersey Style Shirt - Black,Carleigh Czerneski,Jersey Style Shirt - Black,FALSE,TRUE,5,0,2025-10,#2067_0_1762470585407
#2067,JERSEY20,10/20/2025 21:46,Carleigh Czerneski | Jersey Style Hoodie - Team Red,Carleigh Czerneski,Jersey Style Hoodie - Team Red,FALSE,TRUE,5,0,2025-10,#2067_1_1762470585407
#2067,JERSEY20,10/20/2025 21:46,Carleigh Czerneski | Jersey Style Shirt - Black,Carleigh Czerneski,Jersey Style Shirt - Black,FALSE,TRUE,5,0,2025-10,#2067_2_1762470585407
#2067,JERSEY20,10/20/2025 21:46,Carleigh Czerneski | Jersey Style Hoodie - Vintage Black,Carleigh Czerneski,Jersey Style Hoodie - Vintage Black,FALSE,TRUE,5,0,2025-10,#2067_3_1762470585407
#2066,JERSEY20,10/20/2025 20:14,Carleigh Czerneski | Jersey Style Hoodie - Vintage Black,Carleigh Czerneski,Jersey Style Hoodie - Vintage Black,FALSE,TRUE,5,0,2025-10,#2066_0_1762470585407
#2065,None,10/20/2025 19:49,Mackenzie Watenpaugh | Jersey Style Shirt - Black / Patch Front,Mackenzie Watenpaugh,Jersey Style Shirt - Black / Patch Front,FALSE,FALSE,5,5,2025-10,#2065_0_1762470585407
#2065,None,10/20/2025 19:49,Mackenzie Watenpaugh | Jersey Style Long Sleeve Shirt - Black,Mackenzie Watenpaugh,Jersey Style Long Sleeve Shirt - Black,FALSE,FALSE,5,5,2025-10,#2065_1_1762470585407
#2065,None,10/20/2025 19:49,Mackenzie Watenpaugh | Jersey Style Hoodie - Black,Mackenzie Watenpaugh,Jersey Style Hoodie - Black,FALSE,FALSE,5,5,2025-10,#2065_2_1762470585407
#2064,None,10/20/2025 17:44,Greta Petofi | Jersey Style Hoodie - Team Royal,Greta Petofi,Jersey Style Hoodie - Team Royal,FALSE,FALSE,5,5,2025-10,#2064_0_1762470585407
#2064,None,10/20/2025 17:44,Greta Petofi | Jersey Style Hoodie - White,Greta Petofi,Jersey Style Hoodie - White,FALSE,FALSE,5,5,2025-10,#2064_1_1762470585407
#2063,JERSEY20,10/20/2025 14:17,Corey Boulden | Jersey Style Hoodie - Team Royal,Corey Boulden,Jersey Style Hoodie - Team Royal,FALSE,TRUE,5,0,2025-10,#2063_0_1762470585407
#2063,JERSEY20,10/20/2025 14:17,Corey Boulden | Jersey Style Hoodie - Team Royal,Corey Boulden,Jersey Style Hoodie - Team Royal,FALSE,TRUE,5,0,2025-10,#2063_1_1762470585407
#2063,JERSEY20,10/20/2025 14:17,Corey Boulden | Jersey Style Hoodie - Team Royal,Corey Boulden,Jersey Style Hoodie - Team Royal,FALSE,TRUE,5,0,2025-10,#2063_2_1762470585407
#2063,JERSEY20,10/20/2025 14:17,Corey Boulden | Jersey Style Shirt - Royal,Corey Boulden,Jersey Style Shirt - Royal,FALSE,TRUE,5,0,2025-10,#2063_3_1762470585407
#2063,JERSEY20,10/20/2025 14:17,Corey Boulden | Jersey Style Long Sleeve Shirt - Black,Corey Boulden,Jersey Style Long Sleeve Shirt - Black,FALSE,TRUE,5,0,2025-10,#2063_4_1762470585407
#2062,None,10/19/2025 17:20,Preston Reaves | Game Day Jersey,Preston Reaves,Game Day Jersey,TRUE,FALSE,10,10,2025-10,#2062_0_1762470585407
#2061,JERSEY20,10/18/2025 23:42,Jonathan Jones | Jersey Style Hoodie - Black,Jonathan Jones,Jersey Style Hoodie - Black,FALSE,TRUE,5,0,2025-10,#2061_0_1762470585407
#2060,None,10/18/2025 18:09,Mackenzie Watenpaugh | Jersey Style Shirt - Black / Full Front,Mackenzie Watenpaugh,Jersey Style Shirt - Black / Full Front,FALSE,FALSE,5,5,2025-10,#2060_0_1762470585407
#2059,None,10/17/2025 20:13,William Bogenrief | Jersey Style Shirt - Black,William Bogenrief,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2059_0_1762470585407
#2058,None,10/17/2025 20:10,Corey Boulden | Game Day Jersey,Corey Boulden,Game Day Jersey,TRUE,FALSE,10,10,2025-10,#2058_0_1762470585407
#2057,None,10/17/2025 18:37,Corey Boulden | Game Day Jersey,Corey Boulden,Game Day Jersey,TRUE,FALSE,10,10,2025-10,#2057_0_1762470585407
#2056,None,10/17/2025 13:27,Jeremy Rowlett | Jersey Style Shirt - Black,Jeremy Rowlett,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2056_0_1762470585407
#2056,None,10/17/2025 13:27,Jeremy Rowlett | Jersey Style Shirt - Black,Jeremy Rowlett,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2056_1_1762470585407
#2056,None,10/17/2025 13:27,Jeremy Rowlett | Jersey Style Shirt - Black,Jeremy Rowlett,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2056_2_1762470585407
#2056,None,10/17/2025 13:27,Jeremy Rowlett | Jersey Style Shirt - Black,Jeremy Rowlett,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2056_3_1762470585407
#2055,None,10/17/2025 11:26,Antonio Foxwell | Jersey Style Long Sleeve Shirt - Black,Antonio Foxwell,Jersey Style Long Sleeve Shirt - Black,FALSE,FALSE,5,5,2025-10,#2055_0_1762470585407
#2055,None,10/17/2025 11:26,Antonio Foxwell | Jersey Style Shirt - Black,Antonio Foxwell,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2055_1_1762470585407
#2055,None,10/17/2025 11:26,Antonio Foxwell | Jersey Style Shirt - Black,Antonio Foxwell,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2055_2_1762470585407
#2054,JERSEY20,10/17/2025 10:14,Katelen Brooks | Jersey Style Shirt - Black,Katelen Brooks,Jersey Style Shirt - Black,FALSE,TRUE,5,0,2025-10,#2054_0_1762470585407
#2054,JERSEY20,10/17/2025 10:14,Katelen Brooks | Jersey Style Hoodie - Black,Katelen Brooks,Jersey Style Hoodie - Black,FALSE,TRUE,5,0,2025-10,#2054_1_1762470585407
#2054,JERSEY20,10/17/2025 10:14,Katelen Brooks | Jersey Style Long Sleeve Shirt - Sport Grey,Katelen Brooks,Jersey Style Long Sleeve Shirt - Sport Grey,FALSE,TRUE,5,0,2025-10,#2054_2_1762470585407
#2053,JERSEY20,10/16/2025 23:00,Katelen Brooks | Jersey Style Hoodie - Purple,Katelen Brooks,Jersey Style Hoodie - Purple,FALSE,TRUE,5,0,2025-10,#2053_0_1762470585407
#2053,JERSEY20,10/16/2025 23:00,Katelen Brooks | Jersey Style Long Sleeve Shirt - Black,Katelen Brooks,Jersey Style Long Sleeve Shirt - Black,FALSE,TRUE,5,0,2025-10,#2053_1_1762470585407
#2053,JERSEY20,10/16/2025 23:00,Katelen Brooks | Jersey Style Dad Hat - White,Katelen Brooks,Jersey Style Dad Hat - White,FALSE,TRUE,5,0,2025-10,#2053_2_1762470585407
#2053,JERSEY20,10/16/2025 23:00,Katelen Brooks | Jersey Style Hoodie - Purple,Katelen Brooks,Jersey Style Hoodie - Purple,FALSE,TRUE,5,0,2025-10,#2053_3_1762470585407
#2053,JERSEY20,10/16/2025 23:00,Katelen Brooks | Jersey Style Hoodie - Black,Katelen Brooks,Jersey Style Hoodie - Black,FALSE,TRUE,5,0,2025-10,#2053_4_1762470585407
#2052,None,10/16/2025 20:24,CJ Gray | Jersey Style Shirt - Navy,CJ Gray,Jersey Style Shirt - Navy,FALSE,FALSE,5,5,2025-10,#2052_0_1762470585407
#2051,None,10/16/2025 20:18,CJ Gray | Jersey Style Crop Top - Black,CJ Gray,Jersey Style Crop Top - Black,FALSE,FALSE,5,5,2025-10,#2051_0_1762470585407
#2050,None,10/16/2025 6:47,Parker Elam | Jersey Style Hoodie - Black,Parker Elam,Jersey Style Hoodie - Black,FALSE,FALSE,5,5,2025-10,#2050_0_1762470585407
#2049,None,10/15/2025 18:19,Parker Elam | Jersey Style Shirt - Black,Parker Elam,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2049_0_1762470585407
#2048,None,10/15/2025 12:39,Andrew Piazza | Game Day Jersey,Andrew Piazza,Game Day Jersey,TRUE,FALSE,10,10,2025-10,#2048_0_1762470585407
#2047,JERSEY20,10/14/2025 23:05,Chris Artis | Jersey Style Hoodie - Team Red,Chris Artis,Jersey Style Hoodie - Team Red,FALSE,TRUE,5,0,2025-10,#2047_0_1762470585407
#2047,JERSEY20,10/14/2025 23:05,Chris Artis | Jersey Style Hoodie - Team Red,Chris Artis,Jersey Style Hoodie - Team Red,FALSE,TRUE,5,0,2025-10,#2047_1_1762470585407
#2047,JERSEY20,10/14/2025 23:05,Chris Artis | Jersey Style Long Sleeve Shirt - Red,Chris Artis,Jersey Style Long Sleeve Shirt - Red,FALSE,TRUE,5,0,2025-10,#2047_2_1762470585407
#2046,JERSEY20,10/9/2025 11:27,Lauren Perry | Jersey Style Shirt - White,Lauren Perry,Jersey Style Shirt - White,FALSE,TRUE,5,0,2025-10,#2046_0_1762470585407
#2046,JERSEY20,10/9/2025 11:27,Lauren Perry | Jersey Style Hoodie - White,Lauren Perry,Jersey Style Hoodie - White,FALSE,TRUE,5,0,2025-10,#2046_1_1762470585407
#2045,None,10/8/2025 19:44,Allie Kooiker | Jersey Style Long Sleeve Shirt - Black,Allie Kooiker,Jersey Style Long Sleeve Shirt - Black,FALSE,FALSE,5,5,2025-10,#2045_0_1762470585407
#2044,JERSEY20,10/7/2025 20:23,Thomas Byrne | Jersey Style Hoodie - Navy Blazer,Thomas Byrne,Jersey Style Hoodie - Navy Blazer,FALSE,TRUE,5,0,2025-10,#2044_0_1762470585407
#2043,JERSEY20,10/7/2025 15:25,Lauren Perry | Jersey Style Hoodie - White,Lauren Perry,Jersey Style Hoodie - White,FALSE,TRUE,5,0,2025-10,#2043_0_1762470585407
#2042,JERSEY20,10/6/2025 17:46,Justin Bush | Jersey Style Long Sleeve Shirt - Sand,Justin Bush,Jersey Style Long Sleeve Shirt - Sand,FALSE,TRUE,5,0,2025-10,#2042_0_1762470585407
#2042,JERSEY20,10/6/2025 17:46,Justin Bush | Jersey Style Shirt - Natural,Justin Bush,Jersey Style Shirt - Natural,FALSE,TRUE,5,0,2025-10,#2042_1_1762470585407
#2041,None,10/5/2025 18:46,Jackson Geiger | Black & White Premium Hoodie - 2XL / Black,Jackson Geiger,Black & White Premium Hoodie - 2XL / Black,FALSE,FALSE,5,5,2025-10,#2041_0_1762470585407
#2041,None,10/5/2025 18:46,Jackson Geiger | Bulls Front Jersey-Style Shirt - XL / Forest Green,Jackson Geiger,Bulls Front Jersey-Style Shirt - XL / Forest Green,FALSE,FALSE,5,5,2025-10,#2041_1_1762470585407
#2040,JERSEY20,10/4/2025 20:50,Carrie Hiler | Game Day Jersey,Carrie Hiler,Game Day Jersey,TRUE,TRUE,10,0,2025-10,#2040_0_1762470585407
#2040,JERSEY20,10/4/2025 20:50,Carrie Hiler | Jersey Style Hoodie - Black,Carrie Hiler,Jersey Style Hoodie - Black,FALSE,TRUE,5,0,2025-10,#2040_1_1762470585407
#2039,None,10/2/2025 11:18,Devin Paladino | Write Your Own Story Classic Tee - Black / L,Devin Paladino,Write Your Own Story Classic Tee - Black / L,FALSE,FALSE,5,5,2025-10,#2039_0_1762470585407
#2039,None,10/2/2025 11:18,Devin Paladino | Make 'em Believe Classic Tee - White / L,Devin Paladino,Make 'em Believe Classic Tee - White / L,FALSE,FALSE,5,5,2025-10,#2039_1_1762470585407
#2038,JERSEY20,10/1/2025 20:05,Carrie Hiler | Game Day Jersey - 5XL,Carrie Hiler,Game Day Jersey - 5XL,TRUE,TRUE,10,0,2025-10,#2038_0_1762470585407
#2037,None,9/30/2025 22:52,Jared Lessman | Jersey Style Hoodie - S,Jared Lessman,Jersey Style Hoodie - S,FALSE,FALSE,5,5,2025-09,#2037_0_1762470585407
#2037,None,9/30/2025 22:52,Jared Lessman | Jersey Style Shirt - 2XL,Jared Lessman,Jersey Style Shirt - 2XL,FALSE,FALSE,5,5,2025-09,#2037_1_1762470585407
#2036,None,9/30/2025 19:59,Landyn Plaut | Jersey Style Shirt - M,Landyn Plaut,Jersey Style Shirt - M,FALSE,FALSE,5,5,2025-09,#2036_0_1762470585407
#2035,JERSEY20,9/29/2025 23:21,Kaleah Medeiros | Jersey Style Hoodie - L,Kaleah Medeiros,Jersey Style Hoodie - L,FALSE,TRUE,5,0,2025-09,#2035_0_1762470585407
#2035,JERSEY20,9/29/2025 23:21,Kaleah Medeiros | Jersey Style Hoodie - XL,Kaleah Medeiros,Jersey Style Hoodie - XL,FALSE,TRUE,5,0,2025-09,#2035_1_1762470585407
#2034,None,9/27/2025 17:45,Isaiah Miclisse | Jersey Style Hoodie - XL,Isaiah Miclisse,Jersey Style Hoodie - XL,FALSE,FALSE,5,5,2025-09,#2034_0_1762470585407
#2033,JERSEY20,9/27/2025 12:13,Truman Juelsgaard | Game Day Jersey - L,Truman Juelsgaard,Game Day Jersey - L,TRUE,TRUE,10,0,2025-09,#2033_0_1762470585407
#2032,None,9/26/2025 18:35,Andrew Piazza | Jersey Style Shirt - L,Andrew Piazza,Jersey Style Shirt - L,FALSE,FALSE,5,5,2025-09,#2032_0_1762470585407
#2031,None,9/26/2025 10:59,Cam Flippen | Game Day Jersey - XL,Cam Flippen,Game Day Jersey - XL,TRUE,FALSE,10,10,2025-09,#2031_0_1762470585407
#2031,None,9/26/2025 10:59,Cam Flippen | Game Day Jersey - 3XL,Cam Flippen,Game Day Jersey - 3XL,TRUE,FALSE,10,10,2025-09,#2031_1_1762470585408
#2030,None,9/25/2025 18:07,Carrie Hiler | Jersey Style Shirt - 3XL,Carrie Hiler,Jersey Style Shirt - 3XL,FALSE,FALSE,5,5,2025-09,#2030_0_1762470585408
#2029,None,9/24/2025 22:06,Jackson Geiger | Black & White Premium Hoodie - L / Black,Jackson Geiger,Black & White Premium Hoodie - L / Black,FALSE,FALSE,5,5,2025-09,#2029_0_1762470585408
#2029,None,9/24/2025 22:06,Jackson Geiger | Bulls Front Women’s High-Waisted Tee - S / Black,Jackson Geiger,Bulls Front Women’s High-Waisted Tee - S / Black,FALSE,FALSE,5,5,2025-09,#2029_1_1762470585408
#2028,None,9/24/2025 21:30,Mel Smith | Jersey Style Long Sleeve Shirt - XL,Mel Smith,Jersey Style Long Sleeve Shirt - XL,FALSE,FALSE,5,5,2025-09,#2028_0_1762470585408
#2027,None,9/24/2025 20:54,Jackson Geiger | Bulls Front Jersey-Style Shirt - L / Black,Jackson Geiger,Bulls Front Jersey-Style Shirt - L / Black,FALSE,FALSE,5,5,2025-09,#2027_0_1762470585408
#2026,None,9/23/2025 22:45,Jackson Geiger | Game Day Jersey - S / USF Green,Jackson Geiger,Game Day Jersey - S / USF Green,TRUE,FALSE,10,10,2025-09,#2026_0_1762470585408
#2025,CLUTCH10,9/23/2025 8:12,Benjamin Searle | Game Day Jersey - M,Benjamin Searle,Game Day Jersey - M,TRUE,FALSE,10,10,2025-09,#2025_0_1762470585408
#2024,None,9/23/2025 0:00,Landyn Plaut | Jersey Style Women’s High-Waisted Tee - L,Landyn Plaut,Jersey Style Women’s High-Waisted Tee - L,FALSE,FALSE,5,5,2025-09,#2024_0_1762470585408
#2024,None,9/23/2025 0:00,Landyn Plaut | Jersey Style Shirt - XL,Landyn Plaut,Jersey Style Shirt - XL,FALSE,FALSE,5,5,2025-09,#2024_1_1762470585408
#2023,None,9/22/2025 17:22,Ayanah Williams | Game Day Jersey - L,Ayanah Williams,Game Day Jersey - L,TRUE,FALSE,10,10,2025-09,#2023_0_1762470585408
#2022,None,9/22/2025 13:17,Aidon Smith | Jersey Style Crop Top - S / Black,Aidon Smith,Jersey Style Crop Top - S / Black,FALSE,FALSE,5,5,2025-09,#2022_0_1762470585408
#2022,None,9/22/2025 13:17,Aidon Smith | Jersey Style Crop Top - M / Black,Aidon Smith,Jersey Style Crop Top - M / Black,FALSE,FALSE,5,5,2025-09,#2022_1_1762470585408
#2022,None,9/22/2025 13:17,Aidon Smith | Jersey Style Hoodie - M / Purple,Aidon Smith,Jersey Style Hoodie - M / Purple,FALSE,FALSE,5,5,2025-09,#2022_2_1762470585408
#2022,None,9/22/2025 13:17,Aidon Smith | Jersey Style Hoodie - L / Purple,Aidon Smith,Jersey Style Hoodie - L / Purple,FALSE,FALSE,5,5,2025-09,#2022_3_1762470585408
#2022,None,9/22/2025 13:17,Aidon Smith | Game Day Jersey - XL,Aidon Smith,Game Day Jersey - XL,TRUE,FALSE,10,10,2025-09,#2022_4_1762470585408
#2022,None,9/22/2025 13:17,Aidon Smith | Game Day Jersey - L,Aidon Smith,Game Day Jersey - L,TRUE,FALSE,10,10,2025-09,#2022_5_1762470585408
#2021,CLUTCH10,9/20/2025 12:13,Preston Reaves | Jersey Style Shirt - L,Preston Reaves,Jersey Style Shirt - L,FALSE,FALSE,5,5,2025-09,#2021_0_1762470585408
#2021,None,9/20/2025 12:13,Preston Reaves | Game Day Jersey - L,Preston Reaves,Game Day Jersey - L,TRUE,FALSE,10,10,2025-09,#2021_1_1762470585408
#2020,None,9/19/2025 21:09,Nathanial Eichner  | Mural & Patch Performance Shirt - White Fleck Triblend / XL,Nathanial Eichner,Mural & Patch Performance Shirt - White Fleck Triblend / XL,FALSE,FALSE,5,5,2025-09,#2020_0_1762470585408
#2019,CLUTCH10,9/19/2025 20:08,Carrie Hiler | Jersey Style Hoodie - L,Carrie Hiler,Jersey Style Hoodie - L,FALSE,FALSE,5,5,2025-09,#2019_0_1762470585408
#2019,None,9/19/2025 20:08,Carrie Hiler | Jersey Style Crop Top - M,Carrie Hiler,Jersey Style Crop Top - M,FALSE,FALSE,5,5,2025-09,#2019_1_1762470585408
#2018,None,9/19/2025 20:03,Carrie Hiler | Jersey Style Hoodie - 2XL,Carrie Hiler,Jersey Style Hoodie - 2XL,FALSE,FALSE,5,5,2025-09,#2018_0_1762470585408
#2018,None,9/19/2025 20:03,Carrie Hiler | Jersey Style Shirt - 2XL,Carrie Hiler,Jersey Style Shirt - 2XL,FALSE,FALSE,5,5,2025-09,#2018_1_1762470585408
#2017,JERSEY20,9/19/2025 13:10,Carrie Hiler | Jersey Style Shirt - 2XL,Carrie Hiler,Jersey Style Shirt - 2XL,FALSE,TRUE,5,0,2025-09,#2017_0_1762470585408
#2016,JERSEY20,9/19/2025 12:56,Carrie Hiler | Jersey Style Hoodie - XL,Carrie Hiler,Jersey Style Hoodie - XL,FALSE,TRUE,5,0,2025-09,#2016_0_1762470585408
